action,alert_name,bytes_received,bytes_sent,device,direction,dst_ip,dst_port,duration,host,http_method,level,log_type,msg,proto,protocol,raw_log,severity,source,src_ip,src_port,status_code,url,user,user_agent
ALLOW,,21334,2253,Firewall-01,outbound,10.0.0.219,443,63,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:29:46.858663"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.137"", ""dst_ip"": ""10.0.0.219"", ""src_port"": 58616, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 2253, ""bytes_received"": 21334, ""duration"": 63, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.137,58616,,,,
ALLOW,,5541,2623,Firewall-01,outbound,10.0.0.128,80,57,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:29:46.988289"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.69"", ""dst_ip"": ""10.0.0.128"", ""src_port"": 23240, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 2623, ""bytes_received"": 5541, ""duration"": 57, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.69,23240,,,,
alert,SQL INJECTION,,,,,10.0.0.18,,,,GET,warning,application,Detected SQL INJECTION: Generic SQL INJECTION Signature,,,"{""timestamp"": ""2026-01-06 10:29:52.918446"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.138"", ""dst_ip"": ""10.0.0.18"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic SQL INJECTION Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected SQL INJECTION: Generic SQL INJECTION Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""SQL INJECTION"", ""raw_log"": ""Pattern Detection: SQL INJECTION - Generic SQL INJECTION Signature""}",,,192.168.1.138,,200,/search?q=Generic SQL INJECTION Signature,N/A,Mozilla/5.0
alert,DDOS,,,,,10.0.0.11,80,,,GET,warning,network,Detected DDOS: Generic DDOS Signature,TCP,,"{""timestamp"": ""2026-01-06 10:29:53.069534"", ""log_type"": ""network"", ""src_ip"": ""192.168.1.43"", ""dst_ip"": ""10.0.0.11"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic DDOS Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected DDOS: Generic DDOS Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""DDOS"", ""src_port"": 35230, ""dst_port"": 80, ""proto"": ""TCP"", ""raw_log"": ""Pattern Detection: DDOS - Generic DDOS Signature""}",,,192.168.1.43,35230,200,/search?q=Generic DDOS Signature,N/A,Mozilla/5.0
DENY,,47447,4897,Firewall-01,inbound,10.0.0.115,443,45,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:30:22.466725"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.92"", ""dst_ip"": ""10.0.0.115"", ""src_port"": 27316, ""dst_port"": 443, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 4897, ""bytes_received"": 47447, ""duration"": 45, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.92,27316,,,,
ALLOW,,21270,2717,Firewall-01,inbound,10.0.0.164,443,62,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:30:41.913402"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.47"", ""dst_ip"": ""10.0.0.164"", ""src_port"": 6524, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 2717, ""bytes_received"": 21270, ""duration"": 62, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.47,6524,,,,
alert,Insecure Firmware,,,,,10.0.0.27,,,,GET,warning,application,Detected Insecure Firmware: Generic Insecure Firmware Signature,,,"{""timestamp"": ""2026-01-06 10:30:42.987569"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.141"", ""dst_ip"": ""10.0.0.27"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic Insecure Firmware Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Insecure Firmware: Generic Insecure Firmware Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Insecure Firmware"", ""raw_log"": ""Pattern Detection: Insecure Firmware - Generic Insecure Firmware Signature""}",,,192.168.1.141,,200,/search?q=Generic Insecure Firmware Signature,N/A,Mozilla/5.0
alert,Insecure Firmware,,,,,10.0.0.11,,,,GET,warning,application,Detected Insecure Firmware: Generic Insecure Firmware Signature,,,"{""timestamp"": ""2026-01-06 10:30:44.523582"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.166"", ""dst_ip"": ""10.0.0.11"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic Insecure Firmware Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Insecure Firmware: Generic Insecure Firmware Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Insecure Firmware"", ""raw_log"": ""Pattern Detection: Insecure Firmware - Generic Insecure Firmware Signature""}",,,192.168.1.166,,200,/search?q=Generic Insecure Firmware Signature,N/A,Mozilla/5.0
alert,HTTP Request Smuggling,,,,,10.0.0.16,,,,GET,warning,application,Detected HTTP Request Smuggling: Content-Length,,,"{""timestamp"": ""2026-01-06 10:30:58.706966"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.197"", ""dst_ip"": ""10.0.0.16"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Content-Length"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected HTTP Request Smuggling: Content-Length"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""HTTP Request Smuggling"", ""raw_log"": ""Pattern Detection: HTTP Request Smuggling - Content-Length""}",,,192.168.1.197,,200,/search?q=Content-Length,N/A,Mozilla/5.0
alert,Missing Security Headers,,,,,10.0.0.35,,,,GET,warning,application,Detected Missing Security Headers: text/html,,,"{""timestamp"": ""2026-01-06 10:31:14.288222"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.113"", ""dst_ip"": ""10.0.0.35"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=text/html"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Missing Security Headers: text/html"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Missing Security Headers"", ""raw_log"": ""Pattern Detection: Missing Security Headers - text/html""}",,,192.168.1.113,,200,/search?q=text/html,N/A,Mozilla/5.0
ALLOW,,14154,4608,Firewall-01,outbound,10.0.0.160,443,63,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:31:16.135071"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.184"", ""dst_ip"": ""10.0.0.160"", ""src_port"": 56759, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 4608, ""bytes_received"": 14154, ""duration"": 63, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.184,56759,,,,
DENY,,25470,950,Firewall-01,inbound,10.0.0.96,22,54,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:31:35.928051"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.44"", ""dst_ip"": ""10.0.0.96"", ""src_port"": 11129, ""dst_port"": 22, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 950, ""bytes_received"": 25470, ""duration"": 54, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.44,11129,,,,
alert,HTTP Request Smuggling,,,,,10.0.0.37,,,,GET,warning,application,Detected HTTP Request Smuggling: PUT,,,"{""timestamp"": ""2026-01-06 10:32:01.961438"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.110"", ""dst_ip"": ""10.0.0.37"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=PUT"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected HTTP Request Smuggling: PUT"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""HTTP Request Smuggling"", ""raw_log"": ""Pattern Detection: HTTP Request Smuggling - PUT""}",,,192.168.1.110,,200,/search?q=PUT,N/A,Mozilla/5.0
ALLOW,,48356,1720,Firewall-01,outbound,10.0.0.8,22,61,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:32:02.585924"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.232"", ""dst_ip"": ""10.0.0.8"", ""src_port"": 10213, ""dst_port"": 22, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 1720, ""bytes_received"": 48356, ""duration"": 61, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.232,10213,,,,
DENY,,23547,3779,Firewall-01,outbound,10.0.0.79,80,93,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:32:23.479408"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.69"", ""dst_ip"": ""10.0.0.79"", ""src_port"": 53634, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 3779, ""bytes_received"": 23547, ""duration"": 93, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.69,53634,,,,
alert,web cache poisioning,,,,,10.0.0.44,,,,GET,warning,application,Detected web cache poisioning: Generic web cache poisioning Signature,,,"{""timestamp"": ""2026-01-06 10:33:17.642704"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.115"", ""dst_ip"": ""10.0.0.44"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic web cache poisioning Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected web cache poisioning: Generic web cache poisioning Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""web cache poisioning"", ""raw_log"": ""Pattern Detection: web cache poisioning - Generic web cache poisioning Signature""}",,,192.168.1.115,,200,/search?q=Generic web cache poisioning Signature,N/A,Mozilla/5.0
alert,DDOS,,,,,10.0.0.26,80,,,GET,warning,network,Detected DDOS: Generic DDOS Signature,TCP,,"{""timestamp"": ""2026-01-06 10:33:30.465577"", ""log_type"": ""network"", ""src_ip"": ""192.168.1.36"", ""dst_ip"": ""10.0.0.26"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic DDOS Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected DDOS: Generic DDOS Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""DDOS"", ""src_port"": 61295, ""dst_port"": 80, ""proto"": ""TCP"", ""raw_log"": ""Pattern Detection: DDOS - Generic DDOS Signature""}",,,192.168.1.36,61295,200,/search?q=Generic DDOS Signature,N/A,Mozilla/5.0
DENY,,20660,3999,Firewall-01,inbound,10.0.0.142,80,1,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:33:52.669426"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.37"", ""dst_ip"": ""10.0.0.142"", ""src_port"": 52639, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 3999, ""bytes_received"": 20660, ""duration"": 1, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.37,52639,,,,
ALLOW,,16460,540,Firewall-01,inbound,10.0.0.46,443,98,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:34:21.999832"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.103"", ""dst_ip"": ""10.0.0.46"", ""src_port"": 32822, ""dst_port"": 443, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 540, ""bytes_received"": 16460, ""duration"": 98, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.103,32822,,,,
alert,XSS,,,,,10.0.0.36,,,,GET,warning,application,Detected XSS: Generic XSS Signature,,,"{""timestamp"": ""2026-01-06 10:34:55.202653"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.178"", ""dst_ip"": ""10.0.0.36"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic XSS Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected XSS: Generic XSS Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""XSS"", ""raw_log"": ""Pattern Detection: XSS - Generic XSS Signature""}",,,192.168.1.178,,200,/search?q=Generic XSS Signature,N/A,Mozilla/5.0
alert,web cache poisioning,,,,,10.0.0.39,,,,GET,warning,application,Detected web cache poisioning: Generic web cache poisioning Signature,,,"{""timestamp"": ""2026-01-06 10:34:55.541235"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.27"", ""dst_ip"": ""10.0.0.39"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic web cache poisioning Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected web cache poisioning: Generic web cache poisioning Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""web cache poisioning"", ""raw_log"": ""Pattern Detection: web cache poisioning - Generic web cache poisioning Signature""}",,,192.168.1.27,,200,/search?q=Generic web cache poisioning Signature,N/A,Mozilla/5.0
alert,DEVICE SPOOFING,,,,,10.0.0.14,,,,GET,warning,application,Detected DEVICE SPOOFING: Generic DEVICE SPOOFING Signature,,,"{""timestamp"": ""2026-01-06 10:34:57.026691"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.199"", ""dst_ip"": ""10.0.0.14"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic DEVICE SPOOFING Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected DEVICE SPOOFING: Generic DEVICE SPOOFING Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""DEVICE SPOOFING"", ""raw_log"": ""Pattern Detection: DEVICE SPOOFING - Generic DEVICE SPOOFING Signature""}",,,192.168.1.199,,200,/search?q=Generic DEVICE SPOOFING Signature,N/A,Mozilla/5.0
alert,API Abuse,,,,,10.0.0.13,,,,GET,warning,application,Detected API Abuse: Generic API Abuse Signature,,,"{""timestamp"": ""2026-01-06 10:35:15.207216"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.162"", ""dst_ip"": ""10.0.0.13"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic API Abuse Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected API Abuse: Generic API Abuse Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""API Abuse"", ""raw_log"": ""Pattern Detection: API Abuse - Generic API Abuse Signature""}",,,192.168.1.162,,200,/search?q=Generic API Abuse Signature,N/A,Mozilla/5.0
DENY,,22243,203,Firewall-01,inbound,10.0.0.165,80,50,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:35:16.883351"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.238"", ""dst_ip"": ""10.0.0.165"", ""src_port"": 37697, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 203, ""bytes_received"": 22243, ""duration"": 50, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.238,37697,,,,
DENY,,14417,3008,Firewall-01,inbound,10.0.0.101,22,22,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:36:18.310792"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.94"", ""dst_ip"": ""10.0.0.101"", ""src_port"": 25963, ""dst_port"": 22, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 3008, ""bytes_received"": 14417, ""duration"": 22, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.94,25963,,,,
alert,web cache poisioning,,,,,10.0.0.12,,,,GET,warning,application,Detected web cache poisioning: Generic web cache poisioning Signature,,,"{""timestamp"": ""2026-01-06 10:36:21.030958"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.64"", ""dst_ip"": ""10.0.0.12"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic web cache poisioning Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected web cache poisioning: Generic web cache poisioning Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""web cache poisioning"", ""raw_log"": ""Pattern Detection: web cache poisioning - Generic web cache poisioning Signature""}",,,192.168.1.64,,200,/search?q=Generic web cache poisioning Signature,N/A,Mozilla/5.0
alert,SQL INJECTION,,,,,10.0.0.15,,,,GET,warning,application,Detected SQL INJECTION: Generic SQL INJECTION Signature,,,"{""timestamp"": ""2026-01-06 10:36:25.647388"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.44"", ""dst_ip"": ""10.0.0.15"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic SQL INJECTION Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected SQL INJECTION: Generic SQL INJECTION Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""SQL INJECTION"", ""raw_log"": ""Pattern Detection: SQL INJECTION - Generic SQL INJECTION Signature""}",,,192.168.1.44,,200,/search?q=Generic SQL INJECTION Signature,N/A,Mozilla/5.0
DENY,,19402,2811,Firewall-01,outbound,10.0.0.2,80,19,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:36:33.680159"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.89"", ""dst_ip"": ""10.0.0.2"", ""src_port"": 52422, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 2811, ""bytes_received"": 19402, ""duration"": 19, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.89,52422,,,,
alert,Cors Attack,,,,,10.0.0.48,,,,GET,warning,application,Detected Cors Attack: Generic Cors Attack Signature,,,"{""timestamp"": ""2026-01-06 10:37:01.780272"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.67"", ""dst_ip"": ""10.0.0.48"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic Cors Attack Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected Cors Attack: Generic Cors Attack Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""Cors Attack"", ""raw_log"": ""Pattern Detection: Cors Attack - Generic Cors Attack Signature""}",,,192.168.1.67,,200,/search?q=Generic Cors Attack Signature,N/A,Mozilla/5.0
ALLOW,,14500,4782,Firewall-01,inbound,10.0.0.152,80,80,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:37:08.989180"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.8"", ""dst_ip"": ""10.0.0.152"", ""src_port"": 49361, ""dst_port"": 80, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 4782, ""bytes_received"": 14500, ""duration"": 80, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.8,49361,,,,
ALLOW,,3557,527,Firewall-01,inbound,10.0.0.157,443,34,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:37:16.888669"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.225"", ""dst_ip"": ""10.0.0.157"", ""src_port"": 59675, ""dst_port"": 443, ""protocol"": ""TCP"", ""action"": ""ALLOW"", ""bytes_sent"": 527, ""bytes_received"": 3557, ""duration"": 34, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.225,59675,,,,
alert,SQL INJECTION,,,,,10.0.0.10,,,,GET,warning,application,Detected SQL INJECTION: Generic SQL INJECTION Signature,,,"{""timestamp"": ""2026-01-06 10:37:28.816748"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.145"", ""dst_ip"": ""10.0.0.10"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic SQL INJECTION Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected SQL INJECTION: Generic SQL INJECTION Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""SQL INJECTION"", ""raw_log"": ""Pattern Detection: SQL INJECTION - Generic SQL INJECTION Signature""}",,,192.168.1.145,,200,/search?q=Generic SQL INJECTION Signature,N/A,Mozilla/5.0
DENY,,39471,957,Firewall-01,inbound,10.0.0.14,22,67,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:38:23.041750"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.236"", ""dst_ip"": ""10.0.0.14"", ""src_port"": 12061, ""dst_port"": 22, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 957, ""bytes_received"": 39471, ""duration"": 67, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.236,12061,,,,
DENY,,7399,1284,Firewall-01,outbound,10.0.0.134,53,53,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:38:27.292333"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.132"", ""dst_ip"": ""10.0.0.134"", ""src_port"": 49007, ""dst_port"": 53, ""protocol"": ""UDP"", ""action"": ""DENY"", ""bytes_sent"": 1284, ""bytes_received"": 7399, ""duration"": 53, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.132,49007,,,,
DENY,,37828,2860,Firewall-01,inbound,10.0.0.65,443,10,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:39:11.946188"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.253"", ""dst_ip"": ""10.0.0.65"", ""src_port"": 13690, ""dst_port"": 443, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 2860, ""bytes_received"": 37828, ""duration"": 10, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.253,13690,,,,
alert,JWT Token Manipulation,,,,,10.0.0.30,,,,GET,warning,application,Detected JWT Token Manipulation: Generic JWT Token Manipulation Signature,,,"{""timestamp"": ""2026-01-06 10:39:25.989875"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.146"", ""dst_ip"": ""10.0.0.30"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic JWT Token Manipulation Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected JWT Token Manipulation: Generic JWT Token Manipulation Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""JWT Token Manipulation"", ""raw_log"": ""Pattern Detection: JWT Token Manipulation - Generic JWT Token Manipulation Signature""}",,,192.168.1.146,,200,/search?q=Generic JWT Token Manipulation Signature,N/A,Mozilla/5.0
alert,XSS,,,,,10.0.0.42,,,,GET,warning,application,Detected XSS: Generic XSS Signature,,,"{""timestamp"": ""2026-01-06 10:41:38.309067"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.152"", ""dst_ip"": ""10.0.0.42"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic XSS Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected XSS: Generic XSS Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""XSS"", ""raw_log"": ""Pattern Detection: XSS - Generic XSS Signature""}",,,192.168.1.152,,200,/search?q=Generic XSS Signature,N/A,Mozilla/5.0
alert,web cache poisioning,,,,,10.0.0.28,,,,GET,warning,application,Detected web cache poisioning: Generic web cache poisioning Signature,,,"{""timestamp"": ""2026-01-06 10:41:42.208320"", ""log_type"": ""application"", ""src_ip"": ""192.168.1.151"", ""dst_ip"": ""10.0.0.28"", ""user"": ""N/A"", ""http_method"": ""GET"", ""url"": ""/search?q=Generic web cache poisioning Signature"", ""status_code"": 200, ""user_agent"": ""Mozilla/5.0"", ""msg"": ""Detected web cache poisioning: Generic web cache poisioning Signature"", ""level"": ""warning"", ""action"": ""alert"", ""alert_name"": ""web cache poisioning"", ""raw_log"": ""Pattern Detection: web cache poisioning - Generic web cache poisioning Signature""}",,,192.168.1.151,,200,/search?q=Generic web cache poisioning Signature,N/A,Mozilla/5.0
DENY,,13318,3771,Firewall-01,inbound,10.0.0.222,80,77,workstation-01,,,network,,,TCP,"{""timestamp"": ""2026-01-06 10:41:42.616362"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.17"", ""dst_ip"": ""10.0.0.222"", ""src_port"": 57905, ""dst_port"": 80, ""protocol"": ""TCP"", ""action"": ""DENY"", ""bytes_sent"": 3771, ""bytes_received"": 13318, ""duration"": 77, ""direction"": ""inbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.17,57905,,,,
ALLOW,,43915,1206,Firewall-01,outbound,10.0.0.124,443,85,workstation-01,,,network,,,UDP,"{""timestamp"": ""2026-01-06 10:41:48.624727"", ""log_type"": ""network"", ""source"": ""simulation"", ""host"": ""workstation-01"", ""severity"": ""INFO"", ""src_ip"": ""192.168.1.152"", ""dst_ip"": ""10.0.0.124"", ""src_port"": 49676, ""dst_port"": 443, ""protocol"": ""UDP"", ""action"": ""ALLOW"", ""bytes_sent"": 1206, ""bytes_received"": 43915, ""duration"": 85, ""direction"": ""outbound"", ""device"": ""Firewall-01""}",INFO,simulation,192.168.1.152,49676,,,,
